四川科教 HD,rtp://239.11.0.194:5140
嘉佳卡通,rtp://239.11.0.203:5140
兵团卫视,rtp://239.11.0.204:5140
延边卫视,rtp://239.11.0.206:5140
BesTV百事通,rtp://239.11.0.234:5140
测试卡,rtp://239.11.0.239:5140
测试卡,rtp://239.11.0.240:5140
CCTV-5+ HD,rtp://239.11.0.241:5140
CGTN HD,rtp://239.11.0.245:5140
CETV2,rtp://239.11.0.246:5140
CETV3,rtp://239.11.0.247:5140
CETV4,rtp://239.11.0.248:5140
